coluna;valor;frequencia;pct
tracado_via;"Em Obras;Aclive;Curva;Retorno Regulamentado";12;0.0021
tracado_via;"Interseção de Vias;Reta;Declive;Em Obras";12;0.0021
tracado_via;"Em Obras;Interseção de Vias;Viaduto";12;0.0021
tracado_via;"Retorno Regulamentado;Rotatória;Reta;Interseção de Vias";12;0.0021
tracado_via;"Em Obras;Retorno Regulamentado;Aclive;Interseção de Vias";12;0.0021
tracado_via;"Desvio Temporário;Interseção de Vias;Curva";12;0.0021
tracado_via;"Curva;Túnel";11;0.0019
tracado_via;"Em Obras;Curva;Desvio Temporário";11;0.0019
tracado_via;"Aclive;Em Obras;Desvio Temporário";11;0.0019
tracado_via;"Reta;Em Obras;Retorno Regulamentado";11;0.0019
tracado_via;"Desvio Temporário;Declive;Em Obras";11;0.0019
tracado_via;"Aclive;Curva;Interseção de Vias;Rotatória";10;0.0017
tracado_via;"Viaduto;Declive;Curva";10;0.0017
tracado_via;"Declive;Interseção de Vias;Viaduto";10;0.0017
tracado_via;"Viaduto;Retorno Regulamentado;Curva";10;0.0017
tracado_via;"Curva;Aclive;Rotatória";10;0.0017
tracado_via;"Declive;Rotatória;Reta";10;0.0017
tracado_via;"Interseção de Vias;Retorno Regulamentado;Rotatória;Declive";10;0.0017
tracado_via;"Rotatória;Reta;Interseção de Vias;Aclive";10;0.0017
tracado_via;"Rotatória;Interseção de Vias;Declive;Curva";10;0.0017
tracado_via;"Em Obras;Ponte;Curva";10;0.0017
tracado_via;"Declive;Retorno Regulamentado;Curva";9;0.0015
tracado_via;"Retorno Regulamentado;Reta;Viaduto;Interseção de Vias";9;0.0015
tracado_via;"Rotatória;Declive;Interseção de Vias";9;0.0015
tracado_via;"Interseção de Vias;Retorno Regulamentado;Aclive;Reta";9;0.0015
tracado_via;"Aclive;Curva;Ponte";9;0.0015
tracado_via;"Curva;Interseção de Vias;Em Obras";9;0.0015
tracado_via;"Desvio Temporário;Curva;Em Obras";9;0.0015
tracado_via;"Declive;Reta;Viaduto;Interseção de Vias";9;0.0015
tracado_via;"Viaduto;Em Obras;Reta";9;0.0015
tracado_via;"Reta;Aclive;Rotatória";9;0.0015
tracado_via;"Interseção de Vias;Viaduto;Retorno Regulamentado;Curva";9;0.0015
tracado_via;"Em Obras;Interseção de Vias;Ponte";9;0.0015
