linha_origem;id;pesid;coluna;valor_original;motivo;acao
198264;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198279;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198294;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198309;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198324;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198339;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
203013;691669;1537708;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
203015;691669;1537708;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
209065;692462;1541291;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
209070;692462;1541291;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
209075;692462;1541291;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
209080;692462;1541291;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
209085;692462;1541291;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
209090;692462;1541291;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216316;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216320;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216324;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216328;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216332;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216336;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216340;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216344;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216348;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
216352;693567;1542331;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
221807;694370;1546042;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
221814;694370;1546042;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
221821;694370;1546042;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
226265;695063;1545698;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
258917;699412;1556200;idade;1025;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
258928;699412;1556200;idade;1025;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
267525;700615;1559335;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
267529;700615;1559335;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
268218;700710;1559363;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
268224;700710;1559363;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
268230;700710;1559363;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
268236;700710;1559363;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
268242;700710;1559363;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
268248;700710;1559363;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
273208;701394;1560942;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
280650;702471;1563662;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
287527;703396;1567171;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
287529;703396;1567171;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
